product_code,product_name_short,es_diferenciado,product_space_cluster_name,reflections_index_z,fitness_index_z,rank_reflections,rank_fitness
0101,Horses,Differentiated product,Agriculture,0.32773064057588347,0.03082375998433953,341,271
0102,Bovine,Undifferentiated product,Agriculture,-0.5856896212671212,-0.6310419806162326,557,727
0103,Swine,Undifferentiated product,Agriculture,0.6827486574645977,0.6237815792470641,233,129
0104,Sheep,Undifferentiated product,Agriculture,-1.1872476562760848,-0.6426470121824945,705,748
0105,Fowl,Undifferentiated product,Agriculture,-0.48111007795032257,-0.5593394997653193,534,633
0201,Beef,Undifferentiated product,Agriculture,-0.3927330553318068,-0.551205626204703,518,617
0202,Beef (frozen),Undifferentiated product,Agriculture,-1.2281152665445652,-0.5744796858826925,713,648
0203,Pork,Undifferentiated product,Agriculture,0.7365691378751077,0.2066424685777448,221,223
0204,Lamb,Undifferentiated product,Agriculture,-1.182919635138574,-0.5921793754728835,704,671
0206,Edible offal,Undifferentiated product,Agriculture,-0.4255071124963278,-0.5037565088536058,526,563
0207,Poultry,Undifferentiated product,Agriculture,-0.438799188745744,-0.46530423587711073,528,522
0208,Other meat,Differentiated product,Agriculture,0.26091124397938253,-0.46345734003376726,355,517
0210,Preserved meat,Undifferentiated product,Agriculture,-0.13882262749948848,-0.12203778813490036,453,340
0301,Live Fish,Undifferentiated product,Agriculture,-0.8893888967150417,-0.6922483569979748,635,799
0302,"Fish, excluding fillets",Undifferentiated product,Agriculture,-1.0717298260781618,-0.5897408241675929,674,667
0303,"Frozen fish, excluding fillets",Undifferentiated product,Agriculture,-1.4764425439239846,-0.6849209070634619,760,791
0304,Fish fillets,Undifferentiated product,Agriculture,-1.1948194214642138,-0.6066498536860337,711,694
0305,Preserved fish,Undifferentiated product,Agriculture,-1.2843042441045276,-0.6819560296612576,730,788
0306,Crustaceans,Undifferentiated product,Agriculture,-1.821624799851763,-0.6264281422160399,791,723
0307,Molluscs,Undifferentiated product,Agriculture,-1.375493301415834,-0.6091550798608762,747,697
0401,Milk,Undifferentiated product,Agriculture,-0.03211957498499701,-0.4546312835061976,431,511
0402,"Milk, concentrated",Undifferentiated product,Agriculture,-0.6528269663720152,-0.5609415377247082,579,637
0403,Fermented milk products,Undifferentiated product,Agriculture,-0.3268943684983599,-0.6264117106582818,502,722
0404,Whey,Undifferentiated product,Agriculture,0.46247312702557936,-0.17928080710307265,300,367
0405,Butter,Undifferentiated product,Agriculture,0.0076938968303748,-0.2174183534187553,423,377
0406,Cheese,Undifferentiated product,Agriculture,0.02757379547361332,-0.43768550125169886,417,504
0407,"Eggs, in shell",Undifferentiated product,Agriculture,-0.6047595999508125,-0.5858240095038519,564,664
0409,Honey,Undifferentiated product,Agriculture,-0.9698362339333696,-0.5534220659847351,648,621
0504,"Animal guts, except fish",Differentiated product,Agriculture,-0.8868545997651884,-0.572942305716746,634,646
0511,Animal products n.e.c.,Differentiated product,Agriculture,-0.6983374282769701,-0.6034467944012436,589,687
0601,Flower bulbs,Differentiated product,Agriculture,-0.8073308807148495,-0.29041452565352155,623,414
0602,Other live plants,Differentiated product,Agriculture,-0.7512199799686279,-0.4355041081948897,600,503
0603,Cut flowers,Differentiated product,Agriculture,-1.5104472034310712,-0.5847005069984496,764,661
0604,Other parts of plants,Differentiated product,Agriculture,-0.9685392101058332,-0.5447617717509569,647,611
0701,Potatoes,Undifferentiated product,Agriculture,-0.7618513636224584,-0.5753033271785054,604,650
0702,Tomatoes,Undifferentiated product,Agriculture,-1.1541727741126275,-0.6218062700410858,697,717
0703,"Onions, shallots, garlic",Undifferentiated product,Agriculture,-1.8702070819318508,-0.6214076104925401,796,716
0704,"Cabbages, cauliflowers, broccoli",Undifferentiated product,Agriculture,-0.8272750134843826,-0.39189022226224624,625,468
0705,Lettuce,Undifferentiated product,Agriculture,-0.4242402266545646,-0.12024439436037644,525,338
0706,Carrots & turnips,Undifferentiated product,Agriculture,-0.6506075126653276,-0.49310641865708943,578,546
0707,Cucumbers,Undifferentiated product,Agriculture,-0.6920616141353707,-0.3965336342446496,587,474
0708,Legumes,Undifferentiated product,Agriculture,-1.8331397299603311,-0.6295948639215112,793,724
0709,Other vegetables,Undifferentiated product,Agriculture,-1.0060257794711476,-0.539268930718412,659,602
0710,Frozen vegetables,Undifferentiated product,Agriculture,-0.6915858502851533,-0.5195826214886192,586,569
0712,"Vegetables, dried",Undifferentiated product,Agriculture,-1.2336994535438968,-0.5856517967858921,715,663
0713,"Legumes, dried",Undifferentiated product,Agriculture,-1.96031144548566,-0.6509105858335902,801,759
0714,Tubers,Undifferentiated product,Agriculture,-1.8831914860897847,-0.5587220968431048,797,631
0801,Cashew nuts & coconuts,Undifferentiated product,Agriculture,-2.0692649514922743,-0.6786070018324758,805,784
0802,Other nuts,Undifferentiated product,Agriculture,-1.6671023092684418,-0.6411920228725733,783,744
0803,Bananas and plantains,Undifferentiated product,Agriculture,-1.6539479042055076,-0.6312185318266683,782,728
0804,"Avocados, pineapples, mangos, etc.",Undifferentiated product,Agriculture,-1.5602751759089142,-0.6670998202782432,772,774
0805,Citrus fruit,Undifferentiated product,Agriculture,-1.209518962795976,-0.5410418524699349,712,605
0806,Grapes,Undifferentiated product,Agriculture,-1.0891416038766275,-0.502835147783286,679,561
0807,Melons and papayas,Undifferentiated product,Agriculture,-1.3506795496489157,-0.6312496136309624,742,729
0808,Apples & pears,Undifferentiated product,Agriculture,-0.5239046709669897,-0.5370737220354639,542,599
0809,Peaches & cherries,Undifferentiated product,Agriculture,-0.9750653177292998,-0.557874115587546,649,628
0810,Other fresh fruit,Undifferentiated product,Agriculture,-1.3298377965595336,-0.5999715120488107,739,680
0811,"Fruits and nuts, frozen",Undifferentiated product,Agriculture,-0.5493600100369016,-0.5240202678581742,549,577
0813,"Fruits, dried",Undifferentiated product,Agriculture,-1.016143753603969,-0.5817194434265416,664,656
0901,Coffee,Undifferentiated product,Agriculture,-1.4157633739596331,-0.6842225628189388,750,789
